person_id:ID,name,:LABEL
e25f7333cda21f71433a15e51e158517,杨云春,Person
11961c0268206718bb2d7f2759d84d96,张云鹏,Person
768cee61543cac9af488e9d8e90f9579,张阿斌,Person
e6ff8bc26504eb3d4133316104abbf6e,陈志江,Person
e6ff8bc26504eb3d4133316104abbf6e,陈志江,Person
e53e697c4fe0f6125454850f8fa1e012,姚俊宾,Person
e8c45cc72f2b9fd7b8a5378b9c28741b,张清海,Person
c20c09622c08993a1be57b0c036c5fec,张枫华,Person
c20c09622c08993a1be57b0c036c5fec,张枫华,Person
ca9f52bd392f7dff43f8710d5626213a,杜力,Person
23beb2f83ec9cfd7e94dbb17c45252c6,张巍,Person
6860c1c9d1b217be1a778ffd55051d70,赵岑,Person
20d5ca8eee73046b68ef6e608ea3d532,向朝东,Person
4a58a74260a43b6398c043d990b41d84,张勇,Person
6e880fba9f6b1476c3124a1c3e454c29,侯凡,Person
9be96fe3d1081487523f5a1ff421d456,王岳钧,Person
9be96fe3d1081487523f5a1ff421d456,王岳钧,Person
d52561bbea44d38918be3840570c27f8,蒋源洋,Person
58b6aaaa3548af4591202be095adfa5d,周佳,Person
58b6aaaa3548af4591202be095adfa5d,周佳,Person
d5db4ff25bb3604593f76cc18eb661af,蒋理,Person
34bbb6f3a3df714f1e31b8c05cbbc593,张玉龙,Person
34bbb6f3a3df714f1e31b8c05cbbc593,张玉龙,Person
4da93ce9d11efb6e27ea24aaae3a48a5,陈弢,Person
f48c2e7c19bd484daf022d9970ed3bef,陈邦锐,Person
f48c2e7c19bd484daf022d9970ed3bef,陈邦锐,Person
f85f5ec245ce2d5e4f3632f4ede4379f,吴延坤,Person
78499eee8879e2568e112e3acccb70b6,张立新,Person
15a35f95c1b484f38737aa4d55640b7d,薛伟明,Person
6e0e3fdf1541af04f53bf83a7c1a0308,周飙,Person
ac1d3f7ff903da96f57cef75c50cd391,张华君,Person
ac1d3f7ff903da96f57cef75c50cd391,张华君,Person
fddb85958c500a2a22838928fa6bcf00,苗建伟,Person
864017dc10e363fbb061223a0617a899,郝忠礼,Person
864017dc10e363fbb061223a0617a899,郝忠礼,Person
dca34d133b216639dfced54187deec2a,史宇,Person
04da5c94aaba379b02c270231fee641f,周贤海,Person
04da5c94aaba379b02c270231fee641f,周贤海,Person
89f2aad0f3df0a2fd8b8587f389c8428,王诚,Person
15095d14367f7f02655030d498a4ba03,李明,Person
2aa4e8c2c0af0867b3636878bac7e625,田荣江,Person
af89defbe3c2ecde8ea629522ffb6f30,李伟伟,Person
6f3586042a5fed2ca6dad30b853044dc,夏汉关,Person
6f3586042a5fed2ca6dad30b853044dc,夏汉关,Person
ebe5ac87c5d38d397383ea1a43a9a170,董义,Person
0c44af19403ccf7f5db6dffa3bc1c747,谢庆奎,Person
0c44af19403ccf7f5db6dffa3bc1c747,谢庆奎,Person
816038bdefe788075702d1e22f979415,谢金菱,Person
1e426ad7562918d1cd89a14a86687862,张伯中,Person
098d10befa24555d1242b1b8ef298d60,宋永莲,Person
c5dabec2413444f43fbf63b44db28899,胡新权,Person
9f8e0bbe3bf573664483caaa593e4c6c,张海明,Person
ecd3b6f75e114f718aa58834cd79acae,陈晓,Person
